x,y,additional_three,additional_two,additional_one,duration_m,parallel_processes
200,200,0.0,0.0,0.0,3373,1
150,300,0.0,0.0,0.0,3390,1
150,300,0.0,0.0,0.0,3972,1
152,350,0.0,0.0,0.0,4023,1
152,350,0.0,0.0,0.0,2947,1
163,115,0.0,0.0,0.0,1007,1
163,115,0.0,0.0,0.0,935,1
129,289,0.0,0.0,0.0,2020,1
129,289,0.0,0.0,0.0,2256,1
129,289,0.0,0.0,0.0,1946,1
260,151,0.0,0.0,0.0,2203,1
260,151,0.0,0.0,0.0,2237,1
260,151,0.0,0.0,0.0,2016,1
260,151,0.0,0.0,0.0,1961,1
260,151,0.0,0.0,0.0,1771,1
284,115,0.0,0.0,0.0,2177,1
284,115,0.0,0.0,0.0,2016,1
284,115,0.0,0.0,0.0,1933,1
284,115,0.0,0.0,0.0,1898,1
284,115,0.0,0.0,0.0,1777,1
284,115,0.0,0.0,0.0,1689,1
284,115,0.0,0.0,0.0,2106,1
284,115,0.0,0.0,0.0,1551,1
284,115,0.0,0.0,0.0,1516,1
284,115,0.0,0.0,0.0,1900,1
258,241,0.0,0.0,0.0,3791,1
258,241,0.0,0.0,0.0,3090,1
258,241,0.0,0.0,0.0,3393,1
258,241,0.0,0.0,0.0,3224,1
258,241,0.0,0.0,0.0,3432,1
258,241,0.0,0.0,0.0,3226,1
258,241,0.0,0.0,0.0,3902,1
258,241,0.0,0.0,0.0,3307,1
258,241,0.0,0.0,0.0,3297,1
258,241,0.0,0.0,0.0,3073,1
77,305,0.0,0.0,0.0,1243,1
77,305,0.0,0.0,0.0,1408,1
77,305,0.0,0.0,0.0,1316,1
77,305,0.0,0.0,0.0,1268,1
77,305,0.0,0.0,0.0,1331,1
77,305,0.0,0.0,0.0,1246,1
77,305,0.0,0.0,0.0,1332,1
77,305,0.0,0.0,0.0,1495,1
77,305,0.0,0.0,0.0,1512,1
77,305,0.0,0.0,0.0,1520,1
143,111,0.0,0.0,0.0,804,1
314,82,0.0,0.0,0.0,1722,1
302,70,0.0,0.0,0.0,1200,1
142,223,0.0,0.0,0.0,1751,1
236,50,0.0,0.0,0.0,582,1
140,133,0.0,0.0,0.0,1080,1
106,254,0.0,0.0,0.0,1435,1
252,292,0.0,0.0,0.0,3676,1
197,127,0.0,0.0,0.0,1539,1
211,288,0.0,0.0,0.0,3505,1
230,134,0.0,0.0,0.0,1841,1
108,327,0.0,0.0,0.0,2050,1
190,212,0.0,0.0,0.0,1915,1
257,83,0.0,0.0,0.0,1202,1
87,79,0.0,0.0,0.0,346,1
261,224,0.0,0.0,0.0,3228,1
136,284,0.0,0.0,0.0,1699,1
153,314,0.0,0.0,0.0,3077,1
266,142,0.0,0.0,0.0,2293,1
97,153,0.0,0.0,0.0,696,1
250,160,0.0,0.0,0.0,2329,1
96,302,1.0,0.0,0.0,13070,1
347,68,0.0,0.0,0.0,1289,1
333,212,0.0,0.0,0.0,3729,1
107,69,0.0,0.0,0.0,513,1
232,282,0.0,0.0,0.0,13057,5
250,235,0.0,0.0,0.0,18296,5
75,248,0.0,0.0,0.0,3025,4
111,53,0.0,0.0,0.0,1158,4
338,347,0.0,0.0,1.0,33935,4
91,125,0.0,0.0,0.0,2743,8
266,267,0.0,0.0,0.0,21510,6
137,154,0.0,0.0,0.0,8713,7
153,86,0.0,0.0,0.0,5523,8
113,305,0.0,0.0,1.0,24361,8
99,198,0.0,0.0,0.0,1134,1
